section,in_resume,title,loc,institution,start,end
academic_articles,TRUE,[Randomized trial of omalizumab (anti-IgE) for asthma in inner-city children](https://pubmed.ncbi.nlm.nih.gov/21410369),N Engl J Med,"",2011,2011
academic_articles,TRUE,[Early-life home environment and risk of asthma among inner-city children](https://pubmed.ncbi.nlm.nih.gov/28939248),J Allergy Clin Immunol,"",2018,2018
academic_articles,TRUE,[Preseasonal treatment with either omalizumab or an inhaled corticosteroid boost to prevent fall asthma exacerbations](https://pubmed.ncbi.nlm.nih.gov/26518090),J Allergy Clin Immunol,"",2015,2015
academic_articles,TRUE,[Distinct nasal airway bacterial microbiotas differentially relate to exacerbation in pediatric patients with asthma](https://pubmed.ncbi.nlm.nih.gov/31201890),J Allergy Clin Immunol,"",2019,2019
academic_articles,TRUE,"[Effects of Omalizumab on Rhinovirus Infections, Illnesses, and Exacerbations of Asthma](https://pubmed.ncbi.nlm.nih.gov/28608756)",Am J Respir Crit Care Med,"",2017,2017
academic_articles,TRUE,[Enhanced plasmacytoid dendritic cell antiviral responses after omalizumab](https://pubmed.ncbi.nlm.nih.gov/28870461),J Allergy Clin Immunol,"",2018,2018
academic_articles,TRUE,[The nonlesional skin surface distinguishes atopic dermatitis with food allergy as a unique endotype](https://pubmed.ncbi.nlm.nih.gov/30787169),Sci Transl Med,"",2019,2019
academic_articles,TRUE,[Longitudinal Phenotypes of Respiratory Health in a High-Risk Urban Birth Cohort](https://pubmed.ncbi.nlm.nih.gov/30079758),Am J Respir Crit Care Med,"",2019,2019
academic_articles,TRUE,[Graphic depiction of bioinformatics data](https://pubmed.ncbi.nlm.nih.gov/28647586),J Allergy Clin Immunol,"",2017,2017
academic_articles,TRUE,[Sensitization and Exposure to Pets: The Effect on Asthma Morbidity in the US Population](https://pubmed.ncbi.nlm.nih.gov/28694047),J Allergy Clin Immunol Pract,"",2018,2018
academic_articles,TRUE,[Can we predict fall asthma exacerbations? Validation of the seasonal asthma exacerbation index](https://pubmed.ncbi.nlm.nih.gov/28238748),J Allergy Clin Immunol,"",2017,2017
academic_articles,TRUE,[DNA methylation and childhood asthma in the inner city](https://pubmed.ncbi.nlm.nih.gov/25769910),J Allergy Clin Immunol,"",2015,2015
academic_articles,TRUE,[Cockroach allergen component analysis of children with or without asthma and rhinitis in an inner-city birth cohort](https://pubmed.ncbi.nlm.nih.gov/31201891),J Allergy Clin Immunol,"",2019,2019
academic_articles,TRUE,[Early decrease in basophil sensitivity to Ara h 2 precedes sustained unresponsiveness after peanut oral immunotherapy](https://pubmed.ncbi.nlm.nih.gov/31377342),J Allergy Clin Immunol,"",2019,2019
academic_articles,TRUE,[The association of allergic sensitization patterns in early childhood with disease manifestations and immunological reactivity at 10 years of age](https://pubmed.ncbi.nlm.nih.gov/31046157),Clin Exp Allergy,"",2019,2019
academic_articles,TRUE,[Serum IL-6: AÂ biomarker in childhood asthma?](https://pubmed.ncbi.nlm.nih.gov/32004524),J Allergy Clin Immunol,"",2020,2020
academic_articles,TRUE,[Bedroom allergen exposures in US households](https://pubmed.ncbi.nlm.nih.gov/29198587),J Allergy Clin Immunol,"",2018,2018
academic_articles,TRUE,[A computerized decision support tool to implement asthma guidelines for children and adolescents](https://pubmed.ncbi.nlm.nih.gov/30529451),J Allergy Clin Immunol,"",2019,2019
academic_articles,TRUE,[Building Bridges for Asthma Care: Reducing school absence for inner-city children with health disparities](https://pubmed.ncbi.nlm.nih.gov/30055181),J Allergy Clin Immunol,"",2019,2019
academic_articles,TRUE,[Minimally important differences and risk levels for the Composite Asthma Severity Index](https://pubmed.ncbi.nlm.nih.gov/27744028),J Allergy Clin Immunol,"",2017,2017
